student_id,first_name,last_name,date_of_birth,gender,enrollment_date,guardian_contact,class_id,school_id
1,Tayo,Adeyemi,2021-05-12,Male,2025-09-01,8031234567,1,1
2,Bisi,Adeyemi,2021-05-12,Female,2025-09-01,8031234567,1,1
3,Chisom,Okafor,2022-02-10,Female,2025-09-01,7032221110,1,1
4,Obinna,Okafor,2020-11-30,Male,2025-01-12,7032221110,1,1
5,Amina,Musa,2021-08-15,Female,2025-09-01,9055554444,1,1
6,Umar,Musa,2021-08-15,Male,2025-09-01,9055554444,1,1
7,Zainab,Abdullahi,2022-03-04,Female,2025-04-20,8021112223,1,1
8,Fatima,Abdullahi,2020-05-20,Female,2025-09-01,8021112223,1,1
9,Tobi,Ajayi,2021-07-19,Male,2025-09-01,8123334445,1,1
10,Lola,Ajayi,2021-07-19,Female,2025-09-01,8123334445,1,1
11,Emeka,Nwachukwu,2021-01-15,Male,2025-09-01,7061112223,1,1
12,Chidi,Nwachukwu,2021-12-05,Male,2025-01-12,7061112223,1,1
13,Nneka,Eze,2022-06-10,Female,2025-04-22,8034445556,1,1
14,Kelechi,Eze,2020-02-28,Male,2025-09-01,8034445556,1,1
15,Ibrahim,Hassan,2021-04-12,Male,2025-09-01,9011110000,1,1
16,Segun,Olowu,2021-09-30,Male,2025-09-01,7055556667,1,1
17,Bunmi,Olowu,2022-01-15,Female,2025-04-15,7055556667,1,1
18,Tunde,Bakare,2020-12-10,Male,2025-09-01,8061119999,1,1
19,Damilola,Bakare,2021-10-10,Female,2025-09-01,8061119999,2,2
20,Bolaji,Bakare,2022-03-05,Male,2025-01-10,8061119999,2,2
21,Yetunde,Balogun,2020-05-15,Female,2025-09-01,8187778889,2,2
22,Folake,Balogun,2021-08-20,Female,2025-09-01,8187778889,2,2
23,Uche,Obi,2021-11-12,Male,2025-04-25,8090001112,2,2
24,Chinelo,Obi,2019-12-30,Female,2025-09-01,8090001112,2,2
25,Sade,Okonkwo,2021-02-14,Female,2025-09-01,9066667778,2,2
26,Chima,Okonkwo,2020-06-25,Male,2025-09-01,9066667778,2,2
27,Amaka,Anyanwu,2021-09-01,Female,2025-09-01,7015556666,2,2
28,Gozie,Anyanwu,2022-05-15,Male,2025-01-08,7015556666,2,2
29,Musa,Abubakar,2021-10-10,Male,2025-09-01,8051112223,2,2
30,Aisha,Abubakar,2020-01-15,Female,2025-09-01,8051112223,2,2
31,Efe,Osaze,2021-03-22,Female,2025-04-20,7012223334,2,2
32,Benson,Osaze,2022-11-11,Male,2025-09-01,7012223334,2,2
33,Ufuoma,Oki,2021-12-05,Female,2025-09-01,8157778888,2,2
34,Tarila,Oki,2020-08-14,Male,2025-09-01,8157778888,2,2
35,Tamuno,Dokubo,2021-07-07,Male,2025-01-15,8091112222,2,2
36,Boma,Briggs,2019-12-25,Female,2025-09-01,7013334444,2,2
37,Funmi,Ajayi,2019-04-10,Female,2023-09-01,9015556666,9,1
38,Segun,Ajayi,2018-11-15,Male,2023-09-01,9015556666,9,1
39,Yemi,Ogunleye,2018-06-05,Male,2023-09-01,8199990000,9,1
40,Bola,Ogunleye,2019-02-15,Female,2023-09-01,8199990000,9,1
41,Nonso,Eze,2017-08-01,Male,2023-09-01,8111112222,9,1
42,Kelechi,Eze,2019-05-10,Male,2024-01-12,8111112222,9,1
43,Kamsi,Okoro,2018-01-20,Female,2023-09-01,8031112222,9,1
44,Chisom,Okoro,2019-09-12,Female,2024-04-25,8031112222,9,1
45,Ayo,Adenuga,2018-03-15,Male,2023-09-01,8187778888,9,1
46,Titi,Adenuga,2019-05-01,Female,2024-01-15,8187778888,9,1
47,Soji,Olowu,2018-05-10,Male,2023-09-01,7049990000,9,1
48,Olabisi,Olowu,2019-12-10,Female,2024-04-10,7049990000,9,1
49,Nne,Obi,2018-07-05,Female,2023-09-01,7093334444,9,1
50,Chinelo,Obi,2019-10-15,Female,2023-09-01,7093334444,9,1
51,Efe,Igbinedion,2017-07-20,Male,2023-09-01,7081112222,9,1
52,Eseosa,Igbinedion,2019-04-12,Female,2024-01-10,7081112222,9,1
53,Ufuoma,Oki,2018-01-20,Female,2023-09-01,9133334444,9,1
54,Tarila,Oki,2019-07-20,Male,2023-09-01,9133334444,9,1
55,Terna,Iorver,2018-03-15,Male,2023-09-01,8055556666,9,1
56,Mfon,Iorver,2019-05-10,Female,2024-04-20,8055556666,9,1
57,Ekaette,Akpan,2018-05-10,Female,2023-09-01,7077778888,9,1
58,Etido,Akpan,2019-09-01,Male,2023-09-01,7077778888,9,1
59,Oche,Musa,2018-07-05,Male,2023-09-01,9099990000,9,1
60,Amina,Musa,2019-11-25,Female,2024-01-15,9099990000,9,1
61,Aminu,Sani,2017-05-12,Male,2022-09-01,8031112222,14,1
62,Danladi,Sani,2018-04-10,Male,2022-09-01,8031112222,14,1
63,Bunmi,Ajayi,2017-07-05,Female,2022-09-01,9015556666,14,1
64,Lola,Ajayi,2016-12-15,Female,2022-09-01,9015556666,14,1
65,Kayode,Ogunleye,2017-09-01,Male,2022-09-01,8199990000,14,1
66,Damilola,Ogunleye,2018-02-14,Male,2023-01-12,8199990000,14,1
67,Umar,Abdullahi,2017-01-10,Male,2022-09-01,8111112222,14,1
68,Fatima,Abdullahi,2016-08-30,Female,2022-09-01,8111112222,14,1
69,Blessing,Eze,2017-03-05,Female,2022-09-01,8111112222,14,1
70,Nonso,Eze,2018-05-12,Male,2023-04-20,8111112222,14,1
71,Chidinma,Okonkwo,2017-05-01,Female,2022-09-01,7063334444,14,1
